logo_path,name,link,status,usd_raised,month,year,token_sale_price,current_token_price,token_return,roi,erc20,
"http://res.cloudinary.com/dbyoymbpd/image/upload/c_scale,w_111/v1501644034/x_jeS36t_400x400_zabp2k.jpg",Cofoundit,https://cofounditmedia.s3-eu-west-1.amazonaws.com/documents/Cofound.it_business_plan_Na27itB.pdf,Completed,14859059,17-Jun,2017,0.12,0.08,0.69x,RED,FALSE,
"http://res.cloudinary.com/dbyoymbpd/image/upload/c_scale,w_111/v1501644082/DDwtmsaXcAAgwVq_iqflog.jpg",Nimiq,https://medium.com/nimiq-network/nimiq-a-peer-to-peer-payment-protocol-native-to-the-web-ffd324bb084,Completed,14528400,17-Jul,2017,1.38,0.62,0.45x,RED,TRUE,
"http://res.cloudinary.com/dbyoymbpd/image/upload/c_scale,w_177/v1501644156/images_zkibpf.jpg",Mysterium Network,https://www.google.nl/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwjXgP_TusnUAhXNmLQKHXPgDTwQFggmMAA&url=https%3A%2F%2Fmysterium.network%2Fwhitepaper.pdf&usg=AFQjCNG3HFSws-tiwjKfZ8M0h4yOSiknOA,Completed,14075000,17-May,2017,0.93,0.77,0.83x,RED,FALSE,
"http://res.cloudinary.com/dbyoymbpd/image/upload/c_scale,w_123/v1501644239/gA-6M4nF_400x400_ynlghu.jpg",Tokencard,https://www.google.nl/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwivkdDausnUAhVDZ1AKHfJdADAQFggmMAA&url=https%3A%2F%2Ftokencard.io%2Ftokencard_whitepaper.pdf&usg=AFQjCNFFymSe_8YiOXGspYgohXMRCXKXzg,Completed,12700000,17-May,2017,0.54,0.58,1.07x,GREEN,TRUE,
"http://res.cloudinary.com/dbyoymbpd/image/upload/c_scale,w_122/v1501644300/p5MlrKcS_400x400_roivdt.png",Gnosis,https://gnosis.pm/resources/default/pdf/gnosis_whitepaper.pdf,Completed,12500000,17-Apr,2017,29.85,195.1,6.54x,GREEN,TRUE,
"http://res.cloudinary.com/dbyoymbpd/image/upload/c_scale,w_122/v1501644400/zPNjigTW_prdmsw.jpg",Boscoin,https://boscoin.io/wp-content/themes/boscoin/src/pdf/BOScoinWhitePaper.pdf,Completed,12202996,17-Jun,2017,,,,BLUE,FALSE,
"http://res.cloudinary.com/dbyoymbpd/image/upload/c_scale,w_122/v1501644513/gt71Qohk_400x400_h5nijm.jpg",iEx.ec,http://iex.ec/?page_id=186,Completed,12158963,17-Apr,2017,0.2,0.38,1.86x,GREEN,FALSE,
https://res.cloudinary.com/dbyoymbpd/image/upload/t_media_lib_thumb/v1501647584/TjLUr18x_400x400_n0jyt1.jpg,Santiment,https://docs.google.com/document/d/1YIoMRuHQ4VgTwqHg7aGJko05GsO68RKO0_W3KPziPIU/edit,Completed,12094650,17-Jul,2017,0.27,0.18,0.67x,RED,TRUE,
http://res.cloudinary.com/dbyoymbpd/image/upload/v1501800965/adex_cik8in.png,Adex,https://www.adex.network/adex/AdEx-Whitepaper-v1.4.pdf,Completed,11799175,17-Jun,2017,0.25,0.14,0.56x,RED,FALSE,
http://res.cloudinary.com/dbyoymbpd/image/upload/v1501800949/atb_coin_gi8iud.png,ATB Coin,https://drive.google.com/file/d/0B0TKgJ4i8XsfbHlmeVFoUHVtMUE/view,Completed,11180996,17-Jul,2017,,,,BLUE,FALSE,
http://res.cloudinary.com/dbyoymbpd/image/upload/v1501800924/veritaseum_ipfoyh.png,Veritaseum,https://drive.google.com/open?id=0By5WJsM3KjltOGJHYS1HT3Uyczg,Completed,11000000,17-May,2017,5.64,153.78,27.25x,GREEN,FALSE,
http://res.cloudinary.com/dbyoymbpd/image/upload/v1501800904/populous_ovb0df.png,Populous,http://www.populous.co/populous_whitepaper.pdf,Completed,10842332,17-Jun,2017,0.3,2.88,9.56x,GREEN,FALSE,
http://res.cloudinary.com/dbyoymbpd/image/upload/v1501800883/wagerr_f8kdew.png,Wagerr,https://wagerr.com/wagerr_whitepaper_v1.pdf,Completed,10837500,17-Jun,2017,0.06,0.07,1.10x,GREEN,FALSE,
http://res.cloudinary.com/dbyoymbpd/image/upload/v1501800866/rialto_ctcqgt.png,Rialto,https://www.rialto.ai/wp-content/uploads/2017/06/RIALTO.AI_Whitepaper.pdf,Completed,10002847,17-Jul,2017,0.13,0.23,1.71x,GREEN,FALSE,
http://res.cloudinary.com/dbyoymbpd/image/upload/v1501800843/adtoken_vt5uen.png,AdToken,https://adtoken.com/white-paper.pdf,Completed,10000000,17-Jun,2017,0.01,0.03,2.85x,GREEN,TRUE,
http://res.cloudinary.com/dbyoymbpd/image/upload/v1501800823/blockchain_capital_fund_tyfjps.png,Blockchain Capital Fund,https://tokenhub.com/?modal=sign_up&lang=en&geo%5Bgeoip_country_code%5D=US&geo%5Bgeoip_country_code3%5D=USA&geo%5Bgeoip_country_name%5D=United+States&geo%5Bgeoip_city%5D=Portland,Completed,10000000,17-Apr,2017,1,1.11,1.11x,GREEN,FALSE,
http://res.cloudinary.com/dbyoymbpd/image/upload/v1501800808/golem_plipmr.png,Golem,https://golem.network/doc/Golemwhitepaper.pdf,Completed,8596000,16-Nov,2016,0.01,0.24,23.07x,GREEN,TRUE,
http://res.cloudinary.com/dbyoymbpd/image/upload/v1501800785/primalbase_mdm9ps.png,Primalbase,http://primalbase.com/assets/PrimalbaseWP.pdf,Completed,7912595,17-Jun,2017,7912.6,5431.25,0.69x,RED,FALSE,
http://res.cloudinary.com/dbyoymbpd/image/upload/v1501800770/nvo_ttlcuy.png,NVO,https://nvo.io/assets/whitepaper.pdf,Completed,7798042,17-Jun,2017,0.52,0.5,0.95x,RED,FALSE,
http://res.cloudinary.com/dbyoymbpd/image/upload/v1501800744/taas_luveuo.png,TaaS,http://taas.fund/media/whitepaper.pdf,Completed,7569374,17-Apr,2017,1,2.2,2.20x,GREEN,TRUE,
http://res.cloudinary.com/dbyoymbpd/image/upload/v1501800714/singulardtv_ejpe2o.png,SingularDTV,https://singulardtv.com/resources/default/pdf/SingularDTV%20CODE_Summary%20Overview.pdf,Completed,7500000,16-Oct,2016,0.02,0.1,6.44x,GREEN,TRUE,
http://res.cloudinary.com/dbyoymbpd/image/upload/v1501800695/patientory_riimjt.png,Patientory,https://patientory.com/patientory_whitepaper.pdf,Completed,7200000,17-Jun,2017,0.1,0.14,1.31x,GREEN,FALSE,
http://res.cloudinary.com/dbyoymbpd/image/upload/v1501800653/zrcoin_wt6p1g.png,ZrCoin,https://zrcoin.io/files/Whitepaper_ENG.pdf,Completed,7070000,17-Jun,2017,1.42,1.24,0.88x,RED,FALSE,
http://res.cloudinary.com/dbyoymbpd/image/upload/v1501800635/blocktix_ig1b2z.png,Blocktix,https://blocktix.io/public/doc/blocktix-wp-draft.pdf,Completed,6981328,17-Jul,2017,,,,BLUE,FALSE,
http://res.cloudinary.com/dbyoymbpd/image/upload/v1501786695/insurex_ddh1vv.png,Insurex,http://www.insurex.co/wp-content/uploads/2017/05/insurex_whitepaper.pdf,Completed,6949290,17-Jul,2017,0.15,0.15,1.03x,GREEN,FALSE,
http://res.cloudinary.com/dbyoymbpd/image/upload/v1501786679/lisk_wjkuj1.png,Lisk,https://blog.lisk.io/lisk-development-roadmap-5afc4cd0612e#.o3oz39fjk,Completed,6500000,16-Mar,2016,0.08,1.86,24.36x,GREEN,FALSE,
http://res.cloudinary.com/dbyoymbpd/image/upload/v1501786658/aeternity_-_phase_1_cvhej1.png,Aeternity - Phase 1,http://blockchain.aeternity.com/%C3%A6ternity-blockchain-whitepaper.pdf,Completed,5800000,17-Apr,2017,0.04,0.39,9.35x,GREEN,FALSE,
http://res.cloudinary.com/dbyoymbpd/image/upload/v1501786646/matchpool_g4wblw.png,Matchpool,http://matchpool.co/wp-content/uploads/2016/12/Matchpool_Whitepaper_140117.pdf,Completed,5700000,17-Apr,2017,0.1,0.11,1.18x,GREEN,FALSE,
http://res.cloudinary.com/dbyoymbpd/image/upload/v1501786624/firstblood_i09nhl.png,FirstBlood,https://github.com/firstbloodio/white_paper/blob/master/FirstBlood%20White%20Paper.pdf,Completed,5500000,16-Sep,2016,0.06,0.67,10.47x,GREEN,TRUE,
http://res.cloudinary.com/dbyoymbpd/image/upload/v1501786606/digixdao_ffvtgj.png,DigixDAO,https://dgx.io/whitepaper.pdf,Completed,5500000,16-Mar,2016,3.24,62.83,19.42x,GREEN,TRUE,
http://res.cloudinary.com/dbyoymbpd/image/upload/v1501786590/chronobank_qvktbm.png,ChronoBank,https://chronobank.io/files/whitepaper.pdf,Completed,5400000,17-Feb,2017,7.6,14.07,1.85x,GREEN,FALSE,
http://res.cloudinary.com/dbyoymbpd/image/upload/v1501786576/exscudo_vmtx7a.png,Exscudo,https://exscudo.com/Whitepaper_v1.0.pdf,Completed,5347423,17-May,2017,,,,BLUE,FALSE,
http://res.cloudinary.com/dbyoymbpd/image/upload/v1501786557/augur_edr1jc.png,Augur,http://bravenewcoin.com/assets/Whitepapers/Augur-A-Decentralized-Open-Source-Platform-for-Prediction-Markets.pdf,Completed,5300000,15-Oct,2015,0.6,18.09,30.03x,GREEN,TRUE,
http://res.cloudinary.com/dbyoymbpd/image/upload/v1501786542/humaniq_foeo5j.png,Humaniq,https://drive.google.com/file/d/0Byp7u8_3me5yQlBVRjR6UTk1M1k/view,Completed,5163000,17-Apr,2017,0.04,0.17,4.17x,GREEN,TRUE,
